LAB,400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm,L,a,b,C,H,¥¬¸¹
14-0156TCX,20.93,18.74,17.39,17.08,17.70,19.83,23.82,29.42,39.07,50.79,62.66,71.23,73.73,72.32,68.80,63.45,57.39,52.26,47.86,42.90,36.84,33.40,32.95,32.20,31.43,28.87,22.74,17.52,15.19,20.31,30.56,78.37,-37.43,36.76,52.46,135.52,FVF2666
3474842,23.27,24.55,25.64,26.23,26.49,25.58,22.63,19.46,15.75,13.1,11.25,9.37,8.05,7.77,7.72,7.58,7.43,8.73,13.11,21.31,33.69,49.41,63.6,74.51,80.98,84.3,86.31,87.43,88.84,89.27,90.42,50.15,53.95,-8.2,54.57,351.35,FVF2666
13-0000TCX,52.39,52.55,52.19,51.67,51.38,51.45,51.91,52.66,53.42,54.2,55.16,56.16,56.97,57.35,57.89,58.3,58.33,58.35,58.79,60.03,61.23,61.6,61.61,61.78,63.15,66.05,71.21,74.77,80.81,83.06,86.26,80.8,1.72,5.89,6.14,73.7,FVF2666
18-1663TCX,5.03,4.51,4.46,4.41,4.2,3.85,3.33,2.9,2.56,2.35,2.19,2.11,2.13,2.16,2.27,2.44,2.91,4.22,7.78,14.79,25.63,39.44,52.66,64.93,74.08,79.92,83.59,85.82,87.95,88.41,89.6,40.09,59.22,30.48,66.61,27.27,FVF2666
17-4405TCX,25.8,25.59,25.37,25.18,25.14,25.42,25.96,26.6,27.09,27.38,27.61,27.57,27.19,26.38,25.75,25.26,24.59,23.84,23.77,23.99,24.34,24.31,24.13,24.21,25.41,28.17,32.43,37.71,46.08,50.69,57.71,57.59,-2.04,-0.5,2.1,193.81,FVF2666
19-4027TCX,8.93,9.58,9.99,10.09,9.89,9.59,9.09,8.58,7.85,7.13,6.46,5.74,5.09,4.47,3.97,3.6,3.21,2.91,2.66,2.56,2.49,2.45,2.44,2.49,2.62,2.94,3.47,4.47,7.23,9.96,14.3,24.22,-0.02,-20.85,20.85,269.95,FVF2666
00-0000TCX,4.9,4.07,3.77,3.67,3.69,3.94,4.4,5.08,6.09,7.21,8.46,9.94,11.55,13.09,14.06,14.32,14.19,13.14,12,11.19,10.7,10.26,9.89,9.85,10.56,12.47,15.75,20.1,27.91,32.47,39.23,40.46,-7.43,25.9,26.95,106.01,FVF2666
19-0201TCX,7.23,6.8,6.62,6.49,6.35,6.34,6.36,6.39,6.39,6.39,6.35,6.26,6.17,6.12,5.99,5.79,5.58,5.56,5.7,5.79,5.77,5.63,5.51,5.57,5.95,7.14,9.3,12.41,18.54,22.46,28.3,29.37,0.56,-1.81,1.89,287.21,FVF2666
12-5413TCX,65.7,67.23,68,68.69,69.79,71.77,74.39,76.99,79.41,80.65,80.7,80.38,79.45,78.15,76.63,74.73,72.41,70.01,67.61,64.47,60.29,58.34,58.38,58.07,57.53,55.01,48.27,42.58,40.15,48.77,63.53,87.88,-12.15,-0.9,12.18,184.26,FVF2666
12-0737TCX,18.8,16.34,14.85,14.56,15.16,16.99,20.75,26.05,35.18,45.72,55.37,61.86,64.81,66.3,68.15,71.3,75.12,78.86,81.22,82.25,82.87,83.34,83.83,84.52,85.34,86.28,87.32,88.26,89.55,90.02,90.93,86.56,-1.51,56.41,56.43,91.53,FVF2666
